Study	Secondary_sample_accession	Eager_label
PacificCalculus	ERSX0004057	HPD005.B0101
PacificCalculus	ERSX0004058	HPD006.B0101
PacificCalculus	ERSX0004059	HPD007.B0101
FellowsYates2021	ERS3774409	IBA001.A0101
FellowsYates2021	ERS3774410	IBA002.A0101
Velsko2022	ERS11702734	IVE002.B0101
Velsko2022	ERS11702735	IVE003.A0101
Velsko2022	ERS11702736	IVE005.A0101
Velsko2022	ERS11702737	IVE005.B0101
Velsko2022	ERS11702738	IVE007.B0101
Velsko2019	ERS3395764	JAE006.A0101
Velsko2019	ERS3395765	JAE007.A0101
Velsko2019	ERS3395766	JAE008.A0101
Velsko2019	ERS3395767	JAE009.A0101
Velsko2019	ERS3395768	JAE010.A0101
Velsko2019	ERS3395769	JAE012.A0101
Velsko2019	ERS3395770	JAE013.A0101
Velsko2019	ERS3395771	JAE014.A0101
Velsko2019	ERS3395772	JAE015.A0101
Velsko2019	ERS3395773	JAE016.A0101
FellowsYates2021	ERS3774419	KNP001.A0102
FellowsYates2021	ERS3774420	KNP003.A0102
FellowsYates2021	ERS3774421	KNP004.A0102
FellowsYates2021	ERS3774422	KNP005.A0102
FellowsYates2021	ERS3774423	KNP006.A0102
FellowsYates2021	ERS3774424	KNP007.A0102
FellowsYates2021	ERS3774425	KNP009.A0102
Mann2018	SRS3078183	KT01
Mann2018	SRS3078176	KT02
Mann2018	SRS3078178	KT03
Mann2018	SRS3078185	KT04
Mann2018	SRS3078115	KT05
Mann2018	SRS3078111	KT06
Mann2018	SRS3078113	KT07
Mann2018	SRS3078109	KT08
Mann2018	SRS3078097	KT09
Mann2018	SRS3078101	KT10
Mann2018	SRS3078105	KT11
Mann2018	SRS3078133	KT12
Mann2018	SRS3078131	KT13
Mann2018	SRS3078134	KT14
Mann2018	SRS3078120	KT15
Mann2018	SRS3078122	KT16
Mann2018	SRS3078124	KT17
Mann2018	SRS3078126	KT18
Mann2018	SRS3078118	KT19
Mann2018	SRS3078148	KT20
Mann2018	SRS3078150	KT21
Mann2018	SRS3078151	KT22
Mann2018	SRS3078155	KT23
Mann2018	SRS3078156	KT24
Mann2018	SRS3078197	KT25
Mann2018	SRS3078139	KT26
Mann2018	SRS3078093	KT27
Mann2018	SRS3078091	KT28
Mann2018	SRS3078087	KT29
Mann2018	SRS3078193	KT30
Mann2018	SRS3078158	KT31
Mann2018	SRS3078192	KT32
Mann2018	SRS3078170	KT33
Mann2018	SRS3078167	KT34
Mann2018	SRS3078165	KT35
Mann2018	SRS3078163	KT36
FellowsYates2021	ERS3774477	LIS001.A0101
FellowsYates2021	ERS3774478	LIS002.A0101
FellowsYates2021	ERS3774479	LIS003.A0101
FellowsYates2021	ERS3774406	LOB001.A0101
Jacobson2020	SRS7212793	MAWB10
Jacobson2020	SRS7212794	MAWB11
Jacobson2020	SRS7212795	MAWB12
Jacobson2020	SRS7212796	MAWB15
Jacobson2020	SRS7212790	MAWB3
Jacobson2020	SRS7212791	MAWB5
Jacobson2020	SRS7212792	MAWB6
Velsko2022	ERS11702739	MID022.A0101
Velsko2022	ERS11702740	MID023.A0101
Velsko2022	ERS11702741	MID024.A0101
Velsko2022	ERS11702742	MID025.A0101
Velsko2022	ERS11702743	MID026.A0101
Velsko2022	ERS11702744	MID027.A0101
Velsko2022	ERS11702745	MID028.A0101
Velsko2022	ERS11702746	MID029.A0101
Velsko2022	ERS11702747	MID030.A0101
Velsko2022	ERS11702748	MID031.A0101
Velsko2022	ERS11702749	MID032.A0101
Velsko2022	ERS11702750	MID033.A0101
Velsko2022	ERS11702751	MID034.A0101
Velsko2022	ERS11702752	MID035.A0101
Velsko2022	ERS11702753	MID036.A0101
Velsko2022	ERS11702754	MID037.A0101
Velsko2022	ERS11702755	MID038.A0101
Velsko2022	ERS11702756	MID039.A0101
Velsko2022	ERS11702757	MID040.A0101
Velsko2022	ERS11702758	MID041.A0101
Velsko2022	ERS11702759	MID042.A0101
Velsko2022	ERS11702760	MID043.A0101
Velsko2022	ERS11702761	MID044.A0101
Velsko2022	ERS11702762	MID045.A0101
Velsko2022	ERS11702763	MID046.A0101
Velsko2022	ERS11702764	MID047.A0101
Velsko2022	ERS11702765	MID048.A0101
Velsko2022	ERS11702766	MID049.A0101
Velsko2022	ERS11702767	MID050.A0101
Velsko2022	ERS11702768	MID051.A0101
Velsko2022	ERS11702769	MID052.A0101
Velsko2022	ERS11702770	MID053.A0101
Velsko2022	ERS11702771	MID054.A0101
Velsko2022	ERS11702772	MID055.A0101
Velsko2022	ERS11702773	MID056.A0101
Velsko2022	ERS11702774	MID057.A0101
Velsko2022	ERS11702775	MID058.A0101
Velsko2022	ERS11702776	MID059.A0101
Velsko2022	ERS11702777	MID060.A0101
Velsko2022	ERS11702778	MID061.A0101
Velsko2022	ERS11702779	MID062.A0101
Velsko2022	ERS11702780	MID063.A0101
Velsko2022	ERS11702781	MID064.A0101
Velsko2022	ERS11702782	MID065.A0101
Velsko2022	ERS11702783	MID066.A0101
Velsko2022	ERS11702784	MID067.A0101
Velsko2022	ERS11702785	MID068.A0101
Velsko2022	ERS11702786	MID068.B0101
Velsko2022	ERS11702787	MID070.A0101
Velsko2022	ERS11702788	MID071.A0101
Velsko2022	ERS11702789	MID072.A0101
Velsko2022	ERS11702790	MID073.A0101
Velsko2022	ERS11702791	MID074.A0101
Velsko2022	ERS11702792	MID075.A0101
Velsko2022	ERS11702793	MID076.A0101
Velsko2022	ERS11702794	MID077.A0101
Velsko2022	ERS11702795	MID078.A0101
Velsko2022	ERS11702796	MID079.A0101
Velsko2022	ERS11702797	MID080.A0101
Velsko2022	ERS11702798	MID081.A0101
Velsko2022	ERS11702799	MID082.A0101
Velsko2022	ERS11702800	MID083.A0101
Velsko2022	ERS11702801	MID084.A0101
Velsko2022	ERS11702802	MID085.A0101
Velsko2022	ERS11702803	MID086.A0101
Velsko2022	ERS11702804	MID087.A0101
Velsko2022	ERS11702805	MID088.A0101
Velsko2022	ERS11702806	MID089.A0101
Velsko2022	ERS11702807	MID090.A0101
Velsko2022	ERS11702808	MID091.A0101
Velsko2022	ERS11702809	MID092.A0101
Velsko2022	ERS11702810	MID093.A0101
Velsko2022	ERS11702811	MID094.A0101
Velsko2022	ERS11702812	MID097.A0101
Velsko2022	ERS11702813	MID101.A0101
Velsko2022	ERS11702814	MID102.A0101
FellowsYates2021	ERS3774465	MOA001.A0101
FellowsYates2021	ERS3774465	MOA001.A0102
FellowsYates2021	ERS3774383	MTK001.A0101
FellowsYates2021	ERS3774384	MTM001.A0101
FellowsYates2021	ERS3774385	MTM002.A0101
FellowsYates2021	ERS3774386	MTM003.A0101
FellowsYates2021	ERS3774387	MTM004.A0101
FellowsYates2021	ERS3774388	MTM005.A0101
FellowsYates2021	ERS3774389	MTM006.A0101
FellowsYates2021	ERS3774390	MTM008.A0101
FellowsYates2021	ERS3774391	MTM009.A0101
FellowsYates2021	ERS3774398	MTM010.A0101
FellowsYates2021	ERS3774392	MTM011.A0101
FellowsYates2021	ERS3774393	MTM012.A0101
FellowsYates2021	ERS3774394	MTM013.A0101
FellowsYates2021	ERS3774395	MTS001.A0101
FellowsYates2021	ERS3774396	MTS002.A0101
FellowsYates2021	ERS3774397	MTS003.A0101
PacificCalculus	ERSX0004060	NMU115.A0101
PacificCalculus	ERSX0004061	NMU116.A0101
PacificCalculus	ERSX0004062	NMU117.A0101
PacificCalculus	ERSX0004063	NMU118.A0101
PacificCalculus	ERSX0004064	NMU119.A0101
PacificCalculus	ERSX0004065	NMU120.A0101
PacificCalculus	ERSX0004066	NMU121.A0101
PacificCalculus	ERSX0004067	NMU122.A0101
PacificCalculus	ERSX0004068	NMU123.A0101
PacificCalculus	ERSX0004069	NMU124.A0101
PacificCalculus	ERSX0004070	NMU125.A0101
PacificCalculus	ERSX0004071	NMU126.A0101
PacificCalculus	ERSX0004072	NMU127.A0101
PacificCalculus	ERSX0004073	NMU128.A0101
PacificCalculus	ERSX0004074	NMU129.A0101
PacificCalculus	ERSX0004075	NMU130.A0101
PacificCalculus	ERSX0004076	NMU131.A0101
FellowsYates2021	ERS3774446	OAK001.A0101
FellowsYates2021	ERS3774447	OAK002.A0101
FellowsYates2021	ERS3774448	OAK003.A0101
FellowsYates2021	ERS3774449	OAK004.A0101
FellowsYates2021	ERS3774450	OAK005.A0101
FellowsYates2021	ERS3774468	OFN001.A0101
FellowsYates2021	ERS3774378	OME002.A0101
FellowsYates2021	ERS3774379	OME003.A0101
FellowsYates2021	ERS3774380	OME005.A0101
FellowsYates2021	ERS3774381	OME007.A0101
FellowsYates2021	ERS3774382	OME009.A0101
PacificCalculus	ERSX0004077	PAH001.A0102
PacificCalculus	ERSX0004078	PAH002.A0101
PacificCalculus	ERSX0004079	PAH003.A0101
FellowsYates2021	ERS3774441	PES001.B0101
FellowsYates2021	ERS3774469	PLV001.A0101
FellowsYates2021	ERS3774480	PYK001.A0101
FellowsYates2021	ERS3774481	PYK002.A0101
FellowsYates2021	ERS3774482	PYK003.A0101
FellowsYates2021	ERS3774483	PYK004.A0101
FellowsYates2021	ERS3774484	PYK005.A0101
RIII2023	ERSX0002001	R31
RIII2023	ERSX0002001	R32A
RIII2023	ERSX0002001	R32B
RIII2023	ERSX0002001	R33
PacificCalculus	ERSX0004081	RAP001.A0101
PacificCalculus	ERSX0004082	RAP002.A0101
FellowsYates2021	ERS3774470	RIG001.A0101
Fagernaes2020	ERS4042419	RUV001
Jacobson2020	SRS7212787	SA-001
Jacobson2020	SRS7212788	SA-002
Jacobson2020	SRS7212797	SA-003
Jacobson2020	SRS7212798	SA-004
Jacobson2020	SRS7212799	SA-005
Jacobson2020	SRS7212800	SA-006
Jacobson2020	SRS7212801	SA-007
Jacobson2020	SRS7212802	SA-008
Jacobson2020	SRS7212803	SA-009
Jacobson2020	SRS7212804	SA-010
Jacobson2020	SRS7212789	SA-011
PacificCalculus	ERSX0004083	SIG031.A0101
PacificCalculus	ERSX0004084	SIG032.A0101
PacificCalculus	ERSX0004085	SIG033.A0101
PacificCalculus	ERSX0004086	SIG034.A0101
PacificCalculus	ERSX0004087	SIG035.A0101
PacificCalculus	ERSX0004088	SIG036.A0101
PacificCalculus	ERSX0004089	SIG037.A0101
PacificCalculus	ERSX0004090	SIG038.A0101
PacificCalculus	ERSX0004091	SIG039.A0101
PacificCalculus	ERSX0004092	SIG040.A0101
PacificCalculus	ERSX0004093	SIG040.A0201
PacificCalculus	ERSX0004094	SIG041.A0101
PacificCalculus	ERSX0004095	SIG042.A0101
PacificCalculus	ERSX0004096	SIG043.A0101
PacificCalculus	ERSX0004097	SIG044.A0101
PacificCalculus	ERSX0004098	SIG045.A0101
PacificCalculus	ERSX0004099	SIG046.A0101
PacificCalculus	ERSX0004100	SIG046.A0201
PacificCalculus	ERSX0004101	SIG047.A0101
Fagernaes2020	ERS4042423	SMD017
Fagernaes2020	ERS4042427	SMD046
Fagernaes2020	ERS4042431	SMD051
SMH2023	ERSX0003001	SMH005.A
SMH2023	ERSX0003002	SMH007.A
SMH2023	ERSX0003003	SMH008.A
FellowsYates2021	ERS3774442	SPM001.A0101
FellowsYates2021	ERS3774443	SPM002.A0101
Eisenhofer2020	SRS6212663	SRR11176627
Eisenhofer2020	SRS6212662	SRR11176628
Eisenhofer2020	SRS6212661	SRR11176629
Eisenhofer2020	SRS6212660	SRR11176630
Eisenhofer2020	SRS6212659	SRR11176631
Eisenhofer2020	SRS6212658	SRR11176632
Eisenhofer2020	SRS6212657	SRR11176633
Eisenhofer2020	SRS6212656	SRR11176634
Eisenhofer2020	SRS6212655	SRR11176635
Eisenhofer2020	SRS6212654	SRR11176636
Eisenhofer2020	SRS6212652	SRR11176638
Eisenhofer2020	SRS6212651	SRR11176639
Eisenhofer2020	SRS6212650	SRR11176640
Eisenhofer2020	SRS6212649	SRR11176641
Eisenhofer2020	SRS6212648	SRR11176642
Williams2020	SRS6939171	SRR12136712
Williams2020	SRS6939170	SRR12136713
Modi2020	SRS7296487	SRR12557006
Modi2020	SRS7296488	SRR12557007
Modi2020	SRS7296485	SRR12557008
Weyrich2017	SRS7890505	SRR13263116
Weyrich2017	SRS7890503	SRR13263117
Weyrich2017	SRS7890504	SRR13263118
Weyrich2017	SRS7890501	SRR13263119
Weyrich2017	SRS7890502	SRR13263120
Weyrich2017	SRS7890498	SRR13263123
Weyrich2017	SRS7890496	SRR13263124
Weyrich2017	SRS7890495	SRR13263126
Weyrich2017	SRS7890492	SRR13263127
Weyrich2017	SRS7890494	SRR13263128
Weyrich2017	SRS7890491	SRR13263130
Weyrich2017	SRS7890487	SRR13263131
Weyrich2017	SRS7890489	SRR13263132
Weyrich2017	SRS7890490	SRR13263133
Weyrich2017	SRS7890488	SRR13263134
Weyrich2017	SRS7890485	SRR13263135
Weyrich2017	SRS7890486	SRR13263136
Weyrich2017	SRS7890483	SRR13263137
Weyrich2017	SRS7890484	SRR13263138
Farrer2021	SRS7967589	SRR13355784
Farrer2021	SRS7967588	SRR13355785
Farrer2021	SRS7967587	SRR13355786
Farrer2021	SRS7967586	SRR13355787
Farrer2021	SRS7967584	SRR13355789
Farrer2021	SRS7967583	SRR13355790
Farrer2021	SRS7967582	SRR13355791
Farrer2021	SRS7967581	SRR13355792
Farrer2021	SRS7967579	SRR13355794
Farrer2021	SRS7967577	SRR13355796
Farrer2021	SRS7967576	SRR13355797
Farrer2021	SRS7967575	SRR13355798
Farrer2021	SRS7967574	SRR13355799
Farrer2021	SRS7967573	SRR13355800
Farrer2021	SRS7967572	SRR13355801
Farrer2021	SRS7967571	SRR13355802
Farrer2021	SRS7967570	SRR13355803
Farrer2021	SRS7967569	SRR13355804
Farrer2021	SRS7967568	SRR13355805
Farrer2021	SRS7967567	SRR13355806
Farrer2021	SRS7967566	SRR13355807
Farrer2021	SRS7967565	SRR13355808
Farrer2021	SRS7967564	SRR13355809
Farrer2021	SRS7967563	SRR13355810
Farrer2021	SRS7967562	SRR13355811
Farrer2021	SRS7967561	SRR13355812
Farrer2021	SRS7967560	SRR13355813
Modi2021	SRS9263819	SRR14894172
Modi2021	SRS9263820	SRR14894173
Modi2021	SRS9263818	SRR14894174
Modi2021	SRS9263822	SRR14894175
Modi2021	SRS9263817	SRR14894176
Modi2021	SRS9263816	SRR14894177
Quagliariello2022	SRS11653613	SRR17604731
Quagliariello2022	SRS11653612	SRR17604732
Quagliariello2022	SRS11653608	SRR17604735
Quagliariello2022	SRS11653610	SRR17604736
Quagliariello2022	SRS11653607	SRR17604737
Quagliariello2022	SRS11653606	SRR17604738
Quagliariello2022	SRS11653605	SRR17604739
Quagliariello2022	SRS11653604	SRR17604740
Quagliariello2022	SRS11653603	SRR17604741
Quagliariello2022	SRS11653602	SRR17604742
Quagliariello2022	SRS11653601	SRR17604743
Quagliariello2022	SRS11653600	SRR17604744
Quagliariello2022	SRS11653599	SRR17604745
Quagliariello2022	SRS11653598	SRR17604746
Quagliariello2022	SRS11653597	SRR17604747
Quagliariello2022	SRS11653596	SRR17604748
Quagliariello2022	SRS11653595	SRR17604749
Quagliariello2022	SRS11653594	SRR17604750
Quagliariello2022	SRS11653593	SRR17604751
Quagliariello2022	SRS11653592	SRR17604752
Quagliariello2022	SRS11653591	SRR17604753
Quagliariello2022	SRS11653588	SRR17604754
Quagliariello2022	SRS11653590	SRR17604755
Quagliariello2022	SRS11653589	SRR17604756
Quagliariello2022	SRS11653587	SRR17604757
Quagliariello2022	SRS11653586	SRR17604758
Quagliariello2022	SRS11653585	SRR17604759
Quagliariello2022	SRS11653584	SRR17604760
Quagliariello2022	SRS11653582	SRR17604761
Quagliariello2022	SRS11653583	SRR17604762
Quagliariello2022	SRS11653581	SRR17604763
Quagliariello2022	SRS11653580	SRR17604764
Quagliariello2022	SRS11653579	SRR17604765
Quagliariello2022	SRS11653578	SRR17604766
Quagliariello2022	SRS11653577	SRR17604767
Quagliariello2022	SRS11653576	SRR17604768
Quagliariello2022	SRS11653575	SRR17604769
Quagliariello2022	SRS11653573	SRR17604770
Quagliariello2022	SRS11653574	SRR17604771
Quagliariello2022	SRS11653572	SRR17604772
Quagliariello2022	SRS11653571	SRR17604773
Quagliariello2022	SRS11653570	SRR17604774
Quagliariello2022	SRS11653569	SRR17604775
Quagliariello2022	SRS11653568	SRR17604776
Quagliariello2022	SRS11653567	SRR17604777
Quagliariello2022	SRS11653566	SRR17604778
Quagliariello2022	SRS11653565	SRR17604779
Quagliariello2022	SRS11653563	SRR17604780
Quagliariello2022	SRS11653564	SRR17604781
Quagliariello2022	SRS11653562	SRR17604782
Quagliariello2022	SRS11653561	SRR17604783
Quagliariello2022	SRS11653560	SRR17604784
Quagliariello2022	SRS11653559	SRR17604785
Quagliariello2022	SRS11653558	SRR17604786
Quagliariello2022	SRS11653557	SRR17604787
Quagliariello2022	SRS11653556	SRR17604788
Quagliariello2022	SRS11653555	SRR17604789
Quagliariello2022	SRS11653554	SRR17604790
Quagliariello2022	SRS11653553	SRR17604791
Quagliariello2022	SRS11653552	SRR17604792
Quagliariello2022	SRS11653551	SRR17604793
Quagliariello2022	SRS11653550	SRR17604794
Quagliariello2022	SRS11653549	SRR17604795
Quagliariello2022	SRS11653548	SRR17604796
Quagliariello2022	SRS11653546	SRR17604797
Quagliariello2022	SRS11653547	SRR17604798
Quagliariello2022	SRS11653545	SRR17604799
Quagliariello2022	SRS11653544	SRR17604800
Quagliariello2022	SRS11653543	SRR17604801
Quagliariello2022	SRS11653542	SRR17604802
Quagliariello2022	SRS11653540	SRR17604803
Quagliariello2022	SRS11653538	SRR17604804
Quagliariello2022	SRS11653539	SRR17604805
Quagliariello2022	SRS11653541	SRR17604806
Quagliariello2022	SRS11653537	SRR17604807
Quagliariello2022	SRS11653536	SRR17604808
Eerkens2018	SRS2006287	SRR5297130
Eerkens2018	SRS2006290	SRR5297131
Eerkens2018	SRS2006288	SRR5297132
Eerkens2018	SRS2006289	SRR5297133
Mann2018_w	SRS3078206	SRR6877282
Mann2018_w	SRS3078204	SRR6877284
Mann2018_w	SRS3078201	SRR6877286
Mann2018_w	SRS3078200	SRR6877288
Mann2018_w	SRS3078198	SRR6877290
Mann2018_w	SRS3078195	SRR6877292
Mann2018_w	SRS3078175	SRR6877310
Mann2018_w	SRS3078173	SRR6877312
Mann2018_w	SRS3078181	SRR6877323
Mann2018_w	SRS3078162	SRR6877324
Mann2018_w	SRS3078160	SRR6877326
Mann2018_w	SRS3078095	SRR6877393
FellowsYates2021	ERS3774451	TAF008.B0101
FellowsYates2021	ERS3774452	TAF016.B0101
FellowsYates2021	ERS3774453	TAF017.A0101
FellowsYates2021	ERS3774454	TAF017.C0101
FellowsYates2021	ERS3774455	TAF017.E0101
FellowsYates2021	ERS3774456	TAF018.A0101
FellowsYates2021	ERS3774457	TAF018.B0101
PacificCalculus	ERSX0004102	TAP001.B0101
PacificCalculus	ERSX0004103	TAP003.B0101
PacificCalculus	ERSX0004104	TON001.C0101
PacificCalculus	ERSX0004105	TON003.B0101
PacificCalculus	ERSX0004106	TON004.B0101
PacificCalculus	ERSX0004107	TON005.B0101
PacificCalculus	ERSX0004108	TON006.B0101
PacificCalculus	ERSX0004109	TON007.B0101
FellowsYates2021	ERS3774485	VLC001.A0101
FellowsYates2021	ERS3774486	VLC002.A0101
FellowsYates2021	ERS3774487	VLC003.A0101
FellowsYates2021	ERS3774488	VLC004.A0101
FellowsYates2021	ERS3774489	VLC005.A0101
FellowsYates2021	ERS3774490	VLC008.A0101
FellowsYates2021	ERS3774491	VLC009.A0101
FellowsYates2021	ERS3774492	VLC010.A0101
FellowsYates2021	ERS3774444	VLD001.A0101
FellowsYates2021	ERS3774411	WAL001.A0101
Honap2023	SRS15300786	WAMP02
Honap2023	SRS15300787	WAMP03
Honap2023	SRS15300798	WAMP04
Honap2023	SRS15300805	WAMP05
Honap2023	SRS15300806	WAMP06
Honap2023	SRS15300807	WAMP07
Honap2023	SRS15300808	WAMP09
Honap2023	SRS15300809	WAMP10
Honap2023	SRS15300810	WAMP11
Honap2023	SRS15300811	WAMP12
Honap2023	SRS15300788	WAMP13
Honap2023	SRS15300789	WAMP14
Honap2023	SRS15300790	WAMP15
Honap2023	SRS15300791	WAMP18
Honap2023	SRS15300792	WAMP19
Honap2023	SRS15300793	WAMP20
Honap2023	SRS15300794	WAMP21
Honap2023	SRS15300795	WAMP22
Honap2023	SRS15300796	WAMP23
Honap2023	SRS15300797	WAMP24
Honap2023	SRS15300799	WAMP25
Honap2023	SRS15300800	WAMP26
Honap2023	SRS15300801	WAMP27
Honap2023	SRS15300802	WAMP29
Honap2023	SRS15300803	WAMP33
Honap2023	SRS15300804	WAMP34
Fagernaes2020	ERS4042435	WIG001
FellowsYates2021	ERS3774445	ZAF001.A0101
